3.010000000000000142e+01,2.900000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00
3.010000000000000142e+01,-6.300000000000000000e+01,-1.200000000000000000e+01,1.000000000000000000e+00
3.010000000000000142e+01,1.300000000000000000e+01,2.700000000000000000e+01,1.000000000000000000e+00
3.010000000000000142e+01,2.100000000000000000e+01,3.700000000000000000e+01,1.000000000000000000e+00
3.010000000000000142e+01,-1.400000000000000000e+01,4.700000000000000000e+01,1.000000000000000000e+00
3.019999999999999929e+01,8.400000000000000000e+01,9.900000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,8.100000000000000000e+01,7.200000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,1.260000000000000000e+02,9.900000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-2.000000000000000000e+00,-7.000000000000000000e+00,0.000000000000000000e+00
3.019999999999999929e+01,-3.900000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00
3.019999999999999929e+01,5.800000000000000000e+01,5.500000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,3.500000000000000000e+01,4.300000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,5.600000000000000000e+01,4.900000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-1.100000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00
3.019999999999999929e+01,-3.000000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-9.000000000000000000e+00,-1.700000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-3.300000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
3.019999999999999929e+01,4.200000000000000000e+01,5.400000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-1.600000000000000000e+01,-1.400000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,-7.000000000000000000e+00,-2.400000000000000000e+01,0.000000000000000000e+00
3.019999999999999929e+01,3.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,3.500000000000000000e+01,5.400000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,1.170000000000000000e+02,4.900000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,8.500000000000000000e+01,5.800000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,1.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-1.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00
3.030000000000000071e+01,4.200000000000000000e+01,-1.800000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-2.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,6.200000000000000000e+01,9.000000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,5.300000000000000000e+01,9.300000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-1.500000000000000000e+01,-2.300000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-3.000000000000000000e+01,-4.800000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-2.100000000000000000e+01,-1.800000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-5.300000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-4.300000000000000000e+01,3.100000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,-3.000000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00
3.030000000000000071e+01,1.100000000000000000e+01,3.300000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,6.900000000000000000e+01,3.100000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,1.700000000000000000e+01,6.500000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,2.400000000000000000e+01,7.800000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,4.100000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,-4.300000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,-1.400000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,-4.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
3.039999999999999858e+01,-2.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
3.039999999999999858e+01,-1.200000000000000000e+01,4.600000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,2.400000000000000000e+01,5.100000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,7.000000000000000000e+01,5.100000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,7.300000000000000000e+01,8.900000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,6.200000000000000000e+01,4.300000000000000000e+01,0.000000000000000000e+00
3.039999999999999858e+01,-4.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
3.039999999999999858e+01,-8.000000000000000000e+01,-4.000000000000000000e+00,0.000000000000000000e+00
3.039999999999999858e+01,-6.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,-7.000000000000000000e+00,3.500000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-3.000000000000000000e+00,-1.700000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-3.000000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,-1.900000000000000000e+01,-2.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,2.300000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,7.100000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-2.800000000000000000e+01,-7.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,-5.600000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,1.000000000000000000e+01,-3.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,-7.200000000000000000e+01,-4.400000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-7.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-4.300000000000000000e+01,2.900000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-3.400000000000000000e+01,-7.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+01,-3.000000000000000000e+01,-7.600000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-6.000000000000000000e+00,-4.500000000000000000e+01,0.000000000000000000e+00
3.050000000000000000e+01,-4.500000000000000000e+01,-1.300000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-1.190000000000000000e+02,-3.000000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-5.100000000000000000e+01,-7.200000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-7.300000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-1.090000000000000000e+02,-2.100000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-1.080000000000000000e+02,-1.040000000000000000e+02,0.000000000000000000e+00
3.060000000000000142e+01,-1.000000000000000000e+00,-6.400000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-8.900000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-6.400000000000000000e+01,-5.000000000000000000e+00,0.000000000000000000e+00
3.060000000000000142e+01,1.200000000000000000e+01,-2.100000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-6.400000000000000000e+01,-7.600000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-1.040000000000000000e+02,-4.700000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-8.200000000000000000e+01,-3.200000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-4.200000000000000000e+01,-6.300000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-5.300000000000000000e+01,-3.600000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-5.300000000000000000e+01,-2.000000000000000000e+01,0.000000000000000000e+00
3.060000000000000142e+01,-1.400000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-2.300000000000000000e+01,-4.900000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-2.300000000000000000e+01,-2.000000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,2.000000000000000000e+00,3.300000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-5.000000000000000000e+00,7.600000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-3.400000000000000000e+01,-3.000000000000000000e+00,0.000000000000000000e+00
3.069999999999999929e+01,-2.300000000000000000e+01,-3.900000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-2.000000000000000000e+00,-4.800000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-1.000000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-9.300000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
3.069999999999999929e+01,-1.140000000000000000e+02,2.700000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-4.900000000000000000e+01,-1.100000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-7.600000000000000000e+01,-9.800000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-6.400000000000000000e+01,-8.600000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-1.700000000000000000e+01,-4.200000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-5.000000000000000000e+01,-2.500000000000000000e+01,0.000000000000000000e+00
3.069999999999999929e+01,-8.000000000000000000e+01,-5.200000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-5.100000000000000000e+01,-6.800000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-3.600000000000000000e+01,-4.200000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-1.750000000000000000e+02,-5.000000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-9.700000000000000000e+01,-5.800000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-4.000000000000000000e+01,-1.220000000000000000e+02,0.000000000000000000e+00
3.080000000000000071e+01,-1.000000000000000000e+00,-6.800000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-4.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
3.080000000000000071e+01,-8.700000000000000000e+01,-1.000000000000000000e+00,0.000000000000000000e+00
3.080000000000000071e+01,-1.000000000000000000e+00,-1.100000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-3.000000000000000000e+01,-4.900000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-8.700000000000000000e+01,-8.100000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-1.900000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-1.300000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00
3.080000000000000071e+01,-5.000000000000000000e+00,-3.100000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,-2.000000000000000000e+00,2.300000000000000000e+01,0.000000000000000000e+00
3.080000000000000071e+01,4.800000000000000000e+01,5.200000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-3.100000000000000000e+01,3.800000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,3.400000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-2.200000000000000000e+01,-1.400000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-7.100000000000000000e+01,-5.800000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-2.500000000000000000e+01,-5.300000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-5.300000000000000000e+01,-1.500000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,3.000000000000000000e+00,2.600000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-4.300000000000000000e+01,5.500000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-7.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-7.000000000000000000e+00,-9.100000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,4.000000000000000000e+00,-1.050000000000000000e+02,0.000000000000000000e+00
3.089999999999999858e+01,-6.000000000000000000e+00,-4.400000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,3.900000000000000000e+01,-2.000000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,1.000000000000000000e+00,6.000000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-5.900000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00
3.089999999999999858e+01,-5.700000000000000000e+01,-1.300000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-3.800000000000000000e+01,-4.600000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-2.700000000000000000e+01,-3.200000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-1.300000000000000000e+01,-4.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-7.000000000000000000e+00,-2.900000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,1.100000000000000000e+01,-5.200000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-2.800000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-3.600000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-2.400000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-1.300000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-1.000000000000000000e+00,3.200000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-1.300000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-1.600000000000000000e+01,-7.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,-4.400000000000000000e+01,-1.600000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,-5.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.300000000000000000e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,3.000000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-7.000000000000000000e+00,-5.500000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-6.800000000000000000e+01,-4.100000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,1.200000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00
3.110000000000000142e+01,-3.200000000000000000e+01,3.100000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-8.500000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-4.500000000000000000e+01,9.000000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-4.800000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-3.100000000000000000e+01,-5.500000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-3.000000000000000000e+00,-7.100000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,2.700000000000000000e+01,-4.200000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,2.300000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,7.600000000000000000e+01,3.700000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,7.800000000000000000e+01,1.580000000000000000e+02,0.000000000000000000e+00
3.110000000000000142e+01,1.100000000000000000e+01,1.300000000000000000e+02,0.000000000000000000e+00
3.110000000000000142e+01,0.000000000000000000e+00,-2.200000000000000000e+01,0.000000000000000000e+00
3.110000000000000142e+01,-5.000000000000000000e+01,-4.900000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,3.200000000000000000e+01,5.800000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,6.700000000000000000e+01,6.900000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,6.900000000000000000e+01,1.070000000000000000e+02,0.000000000000000000e+00
3.119999999999999929e+01,6.000000000000000000e+01,4.800000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,3.000000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-1.190000000000000000e+02,-8.300000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-7.000000000000000000e+01,-3.800000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,4.100000000000000000e+01,-2.900000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-9.300000000000000000e+01,-1.400000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-5.600000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-5.700000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-8.400000000000000000e+01,-5.300000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-9.200000000000000000e+01,-7.600000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-4.400000000000000000e+01,-6.000000000000000000e+01,0.000000000000000000e+00
3.119999999999999929e+01,-4.400000000000000000e+01,-2.000000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-6.200000000000000000e+01,-6.600000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-4.000000000000000000e+01,-1.600000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-1.300000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000071e+01,-7.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000071e+01,-1.200000000000000000e+01,-1.700000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-3.900000000000000000e+01,-2.500000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-5.000000000000000000e+01,-1.300000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-2.100000000000000000e+01,-2.900000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,3.100000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000071e+01,8.400000000000000000e+01,-9.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000071e+01,-3.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-1.300000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-1.080000000000000000e+02,-5.100000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-5.100000000000000000e+01,-5.900000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-5.400000000000000000e+01,-3.900000000000000000e+01,0.000000000000000000e+00
3.130000000000000071e+01,-1.900000000000000000e+01,-8.000000000000000000e+00,0.000000000000000000e+00
3.139999999999999858e+01,-1.000000000000000000e+00,-5.400000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-3.400000000000000000e+01,-5.300000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,5.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
3.139999999999999858e+01,-3.000000000000000000e+01,-3.500000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,6.000000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,3.200000000000000000e+01,-4.000000000000000000e+00,0.000000000000000000e+00
3.139999999999999858e+01,-7.600000000000000000e+01,-1.200000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-5.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00
3.139999999999999858e+01,6.600000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-1.900000000000000000e+01,-1.100000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-1.400000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-5.100000000000000000e+01,-3.500000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-9.300000000000000000e+01,-5.100000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-6.300000000000000000e+01,-4.200000000000000000e+01,0.000000000000000000e+00
3.139999999999999858e+01,-2.800000000000000000e+01,-3.700000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,-7.200000000000000000e+01,-6.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+01,-2.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,5.100000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,-1.390000000000000000e+02,-7.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+01,-5.700000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+01,-2.400000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,-1.800000000000000000e+01,4.200000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,-2.200000000000000000e+01,-2.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+01,3.000000000000000000e+00,-2.200000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,1.600000000000000000e+01,-6.000000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,2.000000000000000000e+00,-7.600000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,2.200000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,5.100000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,5.500000000000000000e+01,6.100000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,5.700000000000000000e+01,5.500000000000000000e+01,0.000000000000000000e+00
3.150000000000000000e+01,-6.700000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-5.200000000000000000e+01,-5.000000000000000000e+00,0.000000000000000000e+00
3.160000000000000142e+01,-4.400000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-7.000000000000000000e+00,5.800000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,5.500000000000000000e+01,-8.000000000000000000e+00,0.000000000000000000e+00
3.160000000000000142e+01,7.400000000000000000e+01,-7.800000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-5.700000000000000000e+01,-6.100000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-2.000000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,3.000000000000000000e+00,-1.700000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-7.000000000000000000e+00,-4.900000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-4.800000000000000000e+01,-3.400000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,5.500000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,4.800000000000000000e+01,1.330000000000000000e+02,0.000000000000000000e+00
3.160000000000000142e+01,-3.700000000000000000e+01,3.300000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-9.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-3.500000000000000000e+01,-1.100000000000000000e+01,0.000000000000000000e+00
3.160000000000000142e+01,-8.200000000000000000e+01,-3.800000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-2.500000000000000000e+01,-2.100000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-1.800000000000000000e+01,-3.100000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,7.900000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,9.300000000000000000e+01,4.600000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,4.800000000000000000e+01,3.700000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,4.100000000000000000e+01,-1.400000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,5.600000000000000000e+01,-1.700000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,5.200000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,1.200000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,2.100000000000000000e+01,4.100000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-2.300000000000000000e+01,6.100000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-4.800000000000000000e+01,4.600000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-1.500000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,3.900000000000000000e+01,-1.400000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,5.000000000000000000e+00,-1.100000000000000000e+01,0.000000000000000000e+00
3.169999999999999929e+01,-3.000000000000000000e+01,-2.400000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-1.700000000000000000e+01,-5.600000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,4.000000000000000000e+01,-6.500000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,2.800000000000000000e+01,-2.800000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,4.000000000000000000e+00,3.700000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-5.400000000000000000e+01,3.900000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-1.100000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00
3.180000000000000071e+01,-4.000000000000000000e+00,-1.000000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-3.000000000000000000e+01,-4.000000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-2.900000000000000000e+01,-5.900000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,3.100000000000000000e+01,-3.100000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-9.100000000000000000e+01,-4.000000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-5.100000000000000000e+01,3.400000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,1.370000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,1.080000000000000000e+02,-3.600000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-7.700000000000000000e+01,-8.900000000000000000e+01,0.000000000000000000e+00
3.180000000000000071e+01,-7.600000000000000000e+01,-6.700000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,-6.100000000000000000e+01,-2.500000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,-3.300000000000000000e+01,5.700000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,8.000000000000000000e+00,1.350000000000000000e+02,0.000000000000000000e+00
3.189999999999999858e+01,3.500000000000000000e+01,6.100000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,-3.000000000000000000e+00,-1.200000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,-6.800000000000000000e+01,-5.500000000000000000e+01,0.000000000000000000e+00
3.189999999999999858e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
